game_id;team;opp;name;id;pos;min;sh;g;kp;a;xg;xa
16435;Crystal Palace;Brighton;Vicente Guaita;2190;GK;90;0;0;0;0;0.0;0.0
16435;Crystal Palace;Brighton;Joel Ward;510;DR;90;0;0;0;0;0.0;0.0
16435;Crystal Palace;Brighton;Joachim Andersen;6314;DC;90;0;0;1;0;0.0;0.06
16435;Crystal Palace;Brighton;Marc Guehi;7603;DC;90;0;0;0;0;0.0;0.0
16435;Crystal Palace;Brighton;Tyrick Mitchell;8214;DL;90;0;0;1;0;0.0;0.04
16435;Crystal Palace;Brighton;Luka Milivojevic;5549;MC;74;2;0;0;0;0.06;0.0
16435;Crystal Palace;Brighton;Conor Gallagher;9040;MC;90;1;0;0;0;0.04;0.0
16435;Crystal Palace;Brighton;James McArthur;633;MC;90;0;0;1;0;0.0;0.03
16435;Crystal Palace;Brighton;Jordan Ayew;672;FWR;88;2;0;1;0;0.42;0.02
16435;Crystal Palace;Brighton;Odsonne Edouard;3697;FW;74;1;0;0;0;0.06;0.0
16435;Crystal Palace;Brighton;Wilfried Zaha;522;FWL;90;2;1;0;0;0.79;0.0
16435;Crystal Palace;Brighton;Christian Benteke;606;Sub;16;0;0;1;0;0.0;0.4
16435;Crystal Palace;Brighton;Jeffrey Schlupp;757;Sub;2;0;0;0;0;0.0;0.0
16435;Crystal Palace;Brighton;Cheikhou Kouyate;532;Sub;16;0;0;0;0;0.0;0.0
16435;Brighton;Crystal Palace;Robert Sanchez;9098;GK;90;0;0;1;0;0.0;0.3
16435;Brighton;Crystal Palace;Shane Duffy;6047;DC;90;1;0;0;0;0.04;0.0
16435;Brighton;Crystal Palace;Dan Burn;7382;DC;48;0;0;0;0;0.0;0.0
16435;Brighton;Crystal Palace;Lewis Dunk;6048;DC;90;1;0;0;0;0.03;0.0
16435;Brighton;Crystal Palace;Joel Veltman;8780;DMR;90;0;0;1;1;0.0;0.09
16435;Brighton;Crystal Palace;Marc Cucurella;7134;DML;90;0;0;0;0;0.0;0.0
16435;Brighton;Crystal Palace;Pascal Gross;239;MC;90;0;0;2;0;0.0;0.13
16435;Brighton;Crystal Palace;Adam Lallana;486;MC;90;3;0;0;0;0.1;0.0
16435;Brighton;Crystal Palace;Leandro Trossard;7698;FWR;90;1;0;0;0;0.09;0.0
16435;Brighton;Crystal Palace;Neal Maupay;3621;FW;90;1;1;0;0;0.09;0.0
16435;Brighton;Crystal Palace;Danny Welbeck;501;FWL;78;1;0;0;0;0.3;0.0
16435;Brighton;Crystal Palace;Steven Alzate;8020;Sub;19;0;0;0;0;0.0;0.0
16435;Brighton;Crystal Palace;Aaron Connolly;7991;Sub;12;0;0;0;0;0.0;0.0
16435;Brighton;Crystal Palace;Jakub Moder;9284;Sub;23;0;0;0;0;0.0;0.0
16442;Manchester United;Everton;David de Gea;546;GK;90;0;0;0;0;0.0;0.0
16442;Manchester United;Everton;Aaron Wan-Bissaka;5584;DR;90;0;0;2;0;0.0;0.36
16442;Manchester United;Everton;Raphael Varane;2245;DC;90;1;0;0;0;0.06;0.0
16442;Manchester United;Everton;Victor Lindelof;6080;DC;90;0;0;0;0;0.0;0.0
16442;Manchester United;Everton;Luke Shaw;1006;DL;90;0;0;2;0;0.0;0.08
16442;Manchester United;Everton;Fred;6817;DMC;71;0;0;1;0;0.0;0.08
16442;Manchester United;Everton;Scott McTominay;5560;DMC;90;1;0;1;0;0.1;0.03
16442;Manchester United;Everton;Mason Greenwood;7490;AMR;90;2;0;0;0;0.05;0.0
16442;Manchester United;Everton;Bruno Fernandes;1228;AMC;90;1;0;2;1;0.03;0.19
16442;Manchester United;Everton;Anthony Martial;553;AML;58;3;1;0;0;0.42;0.0
16442;Manchester United;Everton;Edinson Cavani;3294;FW;58;1;0;1;0;0.08;0.02
16442;Manchester United;Everton;Paul Pogba;1740;Sub;19;2;0;1;0;0.14;0.1
16442;Manchester United;Everton;Cristiano Ronaldo;2371;Sub;32;1;0;1;0;0.12;0.05
16442;Manchester United;Everton;Jadon Sancho;6345;Sub;32;1;0;2;0;0.05;0.14
16442;Everton;Manchester United;Jordan Pickford;741;GK;90;0;0;0;0;0.0;0.0
16442;Everton;Manchester United;Ben Godfrey;7689;DR;90;0;0;1;0;0.0;0.02
16442;Everton;Manchester United;Yerry Mina;6521;DC;90;1;0;0;0;0.02;0.0
16442;Everton;Manchester United;Michael Keane;1653;DC;90;1;0;0;0;0.09;0.0
16442;Everton;Manchester United;Lucas Digne;1823;DL;90;0;0;2;0;0.0;0.1
16442;Everton;Manchester United;Andros Townsend;775;MR;90;4;1;2;0;0.76;0.16
16442;Everton;Manchester United;Allan;1379;MC;90;0;0;0;0;0.0;0.0
16442;Everton;Manchester United;Abdoulaye Doucoure;1726;MC;90;2;0;2;1;0.12;0.66
16442;Everton;Manchester United;Anthony Gordon;8150;ML;73;0;0;2;0;0.0;0.19
16442;Everton;Manchester United;Demarai Gray;762;AMC;90;2;0;2;0;0.12;0.07
16442;Everton;Manchester United;Salomon Rondon;813;FW;90;2;0;1;0;0.21;0.11
16442;Everton;Manchester United;Tom Davies;1042;Sub;17;0;0;0;0;0.0;0.0
16442;Everton;Manchester United;Lewis Dobbin;10027;Sub;1;0;0;0;0;0.0;0.0
16437;Burnley;Norwich;Nick Pope;5552;GK;90;0;0;0;0;0.0;0.0
16437;Burnley;Norwich;Matthew Lowton;1652;DR;90;2;0;0;0;0.07;0.0
16437;Burnley;Norwich;Nathan Collins;9733;DC;90;1;0;0;0;0.02;0.0
16437;Burnley;Norwich;James Tarkowski;1665;DC;90;0;0;0;0;0.0;0.0
16437;Burnley;Norwich;Charlie Taylor;6044;DL;90;0;0;3;0;0.0;0.21
16437;Burnley;Norwich;Aaron Lennon;593;MR;64;1;0;0;0;0.08;0.0
16437;Burnley;Norwich;Ashley Westwood;669;MC;90;0;0;2;0;0.0;0.09
16437;Burnley;Norwich;Josh Brownhill;8323;MC;90;1;0;4;0;0.03;0.15
16437;Burnley;Norwich;Dwight McNeil;6756;ML;90;2;0;0;0;0.05;0.0
16437;Burnley;Norwich;Matej Vydra;1017;FW;34;1;0;0;0;0.07;0.0
16437;Burnley;Norwich;Chris Wood;4456;FW;84;3;0;1;0;0.17;0.01
16437;Burnley;Norwich;Johann Berg Gudmundsson;1663;Sub;26;0;0;1;0;0.0;0.03
16437;Burnley;Norwich;Ashley Barnes;4422;Sub;6;0;0;0;0;0.0;0.0
16437;Burnley;Norwich;Jay Rodriguez;844;Sub;56;3;0;0;0;0.11;0.0
16437;Norwich;Burnley;Tim Krul;982;GK;90;0;0;0;0;0.0;0.0
16437;Norwich;Burnley;Max Aarons;7688;DR;90;2;0;1;0;0.05;0.07
16437;Norwich;Burnley;Ozan Kabak;7376;DC;90;1;0;0;0;0.14;0.0
16437;Norwich;Burnley;Ben Gibson;1707;DC;90;0;0;0;0;0.0;0.0
16437;Norwich;Burnley;Grant Hanley;7690;DC;90;1;0;0;0;0.01;0.0
16437;Norwich;Burnley;Dimitris Giannoulis;9745;DL;90;1;0;1;0;0.04;0.14
16437;Norwich;Burnley;Pierre Lees-Melou;5619;MC;84;2;0;0;0;0.03;0.0
16437;Norwich;Burnley;Mathias Normann;7470;MC;90;2;0;2;0;0.24;0.05
16437;Norwich;Burnley;Kenny McLean;7693;MC;90;0;0;0;0;0.0;0.0
16437;Norwich;Burnley;Teemu Pukki;7696;FW;84;1;0;1;0;0.1;0.01
16437;Norwich;Burnley;Joshua Sargent;7295;FW;90;1;0;2;0;0.07;0.12
16437;Norwich;Burnley;Lukas Rupp;62;Sub;6;0;0;0;0;0.0;0.0
16437;Norwich;Burnley;Adam Idah;8021;Sub;1;0;0;0;0;0.0;0.0
16437;Norwich;Burnley;Milot Rashica;6523;Sub;6;0;0;0;0;0.0;0.0
16438;Chelsea;Southampton;Edouard Mendy;6880;GK;90;0;0;0;0;0.0;0.0
16438;Chelsea;Southampton;Thiago Silva;3288;DC;90;0;0;1;0;0.0;0.02
16438;Chelsea;Southampton;Antonio Rudiger;1822;DC;90;2;0;1;0;0.08;0.1
16438;Chelsea;Southampton;Trevoh Chalobah;6615;DC;90;1;1;0;0;0.56;0.0
16438;Chelsea;Southampton;Cesar Azpilicueta;681;DMR;90;1;0;2;1;0.47;0.73
16438;Chelsea;Southampton;Ben Chilwell;782;DML;90;4;1;3;0;0.58;0.23
16438;Chelsea;Southampton;Mateo Kovacic;2254;MC;76;0;0;2;0;0.0;0.44
